"Au_4h_D240_1" "Au_4h_D240_bis_2" "Au_4h_D240_3" "PEG_4h_D240_bis_5" "PEG_4h_D240_bis_6" "PEG_4h_D240_7" "Au_24h_D240_10" "Au_24h_D240_11" "Au_24h_D238_12" "PEG_24h_D240_13" "PEG_24h_D240_15" "PEG_24h_D240_16"
"PLG" 83 73 82 22 57 76 0 3 10 70 87 45
"KLKB1" 14 16 13 2 6 6 0 2 5 6 13 10
"ITIH1" 19 12 27 5 9 10 0 0 6 9 9 7
"TUBB5" 22 22 15 3 28 11 0 0 1 5 45 18
"APOD" 15 14 12 2 15 16 0 0 1 10 13 6
"TAGLN2" 14 14 14 1 2 2 5 7 2 0 5 1
"ANXA5" 10 6 13 6 13 12 0 0 1 9 5 5
"ARF1" 17 19 17 3 16 12 2 1 2 4 8 0
"RAB1B" 10 7 9 2 9 7 2 1 0 0 7 0
"HP20" 11 4 5 2 4 5 0 0 0 3 7 2
"PROZ" 11 15 16 4 12 13 2 4 2 7 14 11
"LDHA" 20 9 17 2 11 13 0 0 0 0 7 0
"COL1A2" 7 2 5 6 6 4 2 3 2 7 9 6
"ACTG1" 59 53 49 27 48 48 6 9 19 32 52 31
"TUBB3" 17 17 11 3 25 17 0 0 1 7 43 16
"YWHAQ" 7 9 7 3 9 5 0 0 0 6 0 5
"LTF" 20 22 16 10 39 50 0 0 1 20 24 20
"C4BPA" 15 14 12 1 22 18 0 0 0 0 15 10
"YWHAZ" 12 11 12 8 12 11 2 3 2 12 10 11
"PTGeS3" 3 1 3 0 4 5 0 0 0 0 3 3
"APCS" 9 6 5 4 12 7 0 0 0 10 13 8
"SLC2A3" 2 3 2 1 2 3 0 0 0 3 3 1
"MFAP4" 1 2 3 1 4 3 0 0 0 4 7 5
"KRT80" 5 15 6 3 19 5 0 0 0 4 3 2
"ANP32A" 0 0 0 0 1 2 0 0 0 0 5 0
"LYSM" 3 5 4 2 5 4 0 0 1 2 2 2
"GFAP" 8 15 8 4 12 9 0 0 10 6 5 5
"YWHAB" 6 7 6 2 9 5 0 0 0 7 7 5
"KRT73" 16 30 15 5 25 19 0 5 0 11 11 3
"CAT" 29 41 28 5 29 28 1 3 0 28 38 20
"PGK1" 14 17 16 1 9 14 1 0 0 6 9 6
"BLVRB" 25 27 26 7 23 22 2 2 1 4 8 4
"HMGB2" 9 5 7 1 6 10 0 0 0 5 7 6
"PROC" 35 46 39 18 58 45 4 21 3 22 37 30
"F7" 17 15 14 3 17 14 0 0 0 5 7 5
"H2A1" 5 2 6 1 11 4 1 1 3 0 0 1
"ILK" 6 10 6 0 4 3 0 0 0 0 11 0
"JUP" 7 8 7 0 47 15 1 0 5 6 6 0
"OLFML3" 7 10 10 0 0 1 0 0 0 0 2 0
"RPS27A" 4 4 6 0 0 5 0 0 1 3 3 2
"H2AC20" 5 2 6 1 0 4 1 1 3 3 0 1
"eeF1A2" 0 13 8 0 0 6 4 2 0 0 0 0
"IGFBP3" 22 20 19 0 0 3 0 1 0 0 0 0
"RPLP0" 3 0 3 0 7 3 0 0 2 3 8 4
"KRT79" 19 0 18 0 34 25 4 5 0 14 18 13
"TUBB4B" 22 19 0 0 26 11 0 0 1 5 43 16
"CTSL" 19 22 20 0 0 1 1 2 0 0 1 0
"RNASe4" 15 13 12 0 0 3 1 2 1 0 0 0
"C1QA" 11 12 11 0 2 1 2 2 0 1 2 0
"F11R" 4 1 1 0 4 1 0 0 0 0 1 0
"APOC3" 2 3 2 0 3 1 0 0 0 4 2 4
"CDH1" 13 7 12 0 3 5 0 0 1 0 0 0
"IGF2" 6 6 6 0 1 1 0 0 1 0 0 0
"KRT8" 11 16 12 0 21 13 0 0 0 10 10 11
"VCP" 4 3 1 0 7 3 2 0 0 14 45 10
"HSPA1L" 16 11 11 0 7 5 0 0 0 3 5 4
"YWHAe" 5 7 8 0 8 8 0 0 0 8 7 8
"MAPRe2" 1 0 0 0 0 1 0 0 0 0 1 0
"P62808" 5 6 3 0 11 2 0 0 0 0 2 1
"FN1" 10 11 7 0 6 5 0 0 1 3 55 3
"BPT2" 3 6 5 0 2 1 0 0 1 0 0 0
"IGFBP2" 41 32 30 0 3 7 6 5 4 0 7 4
"CHI3L1" 3 3 2 0 2 4 0 0 0 0 0 0
"HSPA1A" 27 21 19 0 13 7 0 0 0 9 13 5
"SULT1e1" 10 4 5 0 4 2 0 0 0 0 7 3
"ANXA1" 7 4 5 0 10 7 0 0 0 6 5 4
"CLIC1" 7 3 6 0 4 6 0 0 0 0 4 4
"CPB2" 29 28 32 0 9 6 2 2 1 7 17 7
"APOC4" 3 3 3 0 4 8 0 0 0 2 5 3
"HP" 10 11 6 0 12 11 0 0 0 12 4 4
"AHCY" 16 14 16 0 15 11 0 0 0 7 15 8
"NAP1L4" 4 5 2 0 3 2 0 0 0 2 5 3
"THBS4" 13 14 16 0 5 4 3 7 6 1 5 1
"HSP90B1" 10 6 4 0 6 3 0 0 0 0 4 4
"CHIA" 12 12 12 0 14 8 0 0 3 6 13 10
"H1-3" 3 4 4 0 6 0 0 0 0 0 0 0
"ARG1" 7 2 3 0 4 3 0 0 2 2 1 1
"COL1A1" 7 6 12 0 5 12 1 0 2 13 18 13
"ANXA11" 4 2 1 0 3 5 0 0 0 0 3 2
"CDH5" 6 2 3 0 3 2 0 0 1 4 6 7
"CFH" 39 24 34 0 5 4 1 4 12 0 5 2
"HSPA1B" 27 21 19 0 13 7 0 0 0 9 13 5
"HABP2" 15 16 16 0 3 2 0 0 1 0 8 1
"KRT17" 22 23 23 0 42 33 0 0 0 16 30 0
"NAP1L1" 14 14 7 0 9 7 0 0 0 7 15 13
"PRDX6" 5 1 3 0 5 4 0 0 0 2 4 3
"PPIA" 12 10 11 0 12 4 0 0 0 3 7 2
"CATHL1" 3 1 3 0 1 2 0 0 0 2 5 2
"FeRMT3" 20 18 14 0 4 5 4 3 0 5 7 2
"RAC1" 6 7 8 0 5 7 0 0 0 2 4 1
"KRT10" 31 40 36 0 54 44 0 0 11 33 31 0
"MYL6" 10 5 6 0 1 2 0 0 0 2 6 4
"HA1B" 4 1 3 0 2 1 0 0 0 1 0 0
"RAB8A" 7 7 5 0 7 7 0 0 0 0 3 0
"F12" 7 3 6 0 2 2 0 0 0 3 4 0
"CSRP1" 6 2 2 0 2 4 0 0 0 0 1 0
"NACA" 5 6 3 0 4 5 0 0 0 2 4 3
"GGH" 5 8 5 0 4 3 0 1 0 0 4 0
"KRT71" 8 9 6 0 14 11 0 0 0 8 9 0
"B4GALT1" 9 6 9 0 4 5 0 0 0 0 0 0
"CD9" 3 9 9 0 6 7 0 0 0 2 5 0
"RAB11B" 8 5 5 0 5 6 0 0 0 2 4 2
"RGN" 7 5 7 0 2 3 0 2 2 2 6 3
"CAPNS1" 13 15 13 0 5 4 0 0 2 1 2 5
"C7" 23 15 12 0 8 8 0 0 1 18 19 10
"HSP90AB1" 38 31 24 0 36 36 0 0 3 14 23 18
"HMGB1" 12 4 9 0 7 5 0 0 0 7 11 7
"TRAP1" 3 4 2 0 3 2 0 0 0 3 0 0
"YWHAH" 0 0 4 0 7 6 0 0 0 5 5 0
"FTL" 3 4 4 0 3 4 0 0 0 2 5 3
"PRDX2" 5 5 3 0 6 2 0 2 0 4 0 0
"CAP1" 8 5 7 0 3 4 1 5 0 0 12 5
"ARF4" 13 14 16 0 11 8 0 1 2 3 7 5
"KRT25" 9 0 8 0 7 9 0 0 0 10 6 7
"MSN" 10 5 0 0 6 5 0 0 0 5 8 0
"KRT27" 9 11 8 0 7 9 0 0 0 0 6 7
"KRT19" 15 13 14 0 36 23 0 3 0 11 18 8
"CATHL4" 2 1 2 0 6 7 0 0 0 3 2 1
"GDI1" 0 0 7 0 4 3 0 0 0 0 0 2
"CTSD" 5 2 3 0 5 1 0 0 1 0 3 4
"GDI2" 27 30 27 0 4 3 0 0 0 0 5 2
"TIMP3" 6 0 1 0 2 2 0 0 0 0 0 0
"HP252" 1 2 2 0 1 1 0 0 0 2 1 0
"KRT72" 11 13 0 0 13 18 0 0 0 0 0 0
"PPIe" 5 0 3 0 3 2 0 0 0 2 3 0
"PeBP1" 11 6 8 0 2 2 0 0 0 0 2 0
"DSC1" 0 3 0 0 2 1 0 0 0 0 0 0
"KRT20" 2 4 0 0 6 4 0 0 0 0 0 0
"CHAD" 5 4 4 0 0 0 0 2 3 0 0 0
"CL43" 5 0 5 0 1 4 0 0 0 5 7 2
"MYH10" 16 15 12 0 0 4 0 0 0 0 10 4
"LBP" 4 4 4 0 0 2 0 0 1 1 1 4
"eZR" 9 7 5 0 0 6 0 2 0 6 0 0
"COMP" 7 4 9 0 0 2 0 0 1 0 4 0
"GSTP1" 5 3 5 0 0 5 0 0 0 0 5 0
"LGALS3BP" 0 0 0 0 0 3 0 3 0 0 9 2
"AKR1A1" 5 8 6 0 0 1 0 0 0 0 1 0
"RAN" 5 13 11 0 4 0 0 0 0 0 7 0
"CRYZ" 0 0 0 12 1 0 0 0 2 0 0 0
"IGFBP1" 7 6 7 0 0 0 0 0 0 0 0 0
"SeRPINA6" 5 3 4 0 0 4 0 2 0 3 6 2
"MST1" 16 13 13 1 0 2 2 3 0 0 2 1
"H2AJ" 5 2 6 1 0 4 1 1 3 0 0 1
"GPX3" 3 0 0 0 0 2 0 0 0 0 7 0
"TUBB2B" 19 0 0 0 30 0 0 0 1 0 40 0
"PHGDH" 2 3 3 0 0 1 0 0 0 0 1 0
"CTSV" 19 22 20 0 0 1 1 2 0 0 1 0
"C1QB" 10 18 12 0 0 2 2 1 0 0 3 0
"YWHAG" 0 7 4 0 0 5 0 0 0 0 0 5
"GNAO1" 2 0 0 0 0 2 0 0 0 0 0 0
"CCN2" 0 0 3 0 0 2 0 0 0 0 0 0
"RPS10" 1 0 1 0 1 0 0 0 0 0 0 0
"PGM1" 4 5 6 0 0 0 0 0 0 0 0 0
"GSTM1" 3 4 3 0 0 0 0 0 0 0 0 0
"APRT" 4 4 5 0 0 0 0 0 0 0 0 0
"TUBB4A" 19 13 0 0 21 0 0 0 1 0 0 0
"PABPC1" 1 3 0 0 5 0 0 0 0 0 0 0
"PCBP1" 3 0 0 0 5 0 0 0 0 0 0 0
"PNP" 3 4 3 0 0 0 0 0 0 0 0 0
"WDR1" 2 0 0 0 1 0 0 0 0 0 1 0
"SePTIN7" 10 5 4 0 0 0 2 0 0 0 0 0
"PSMB4" 5 3 0 0 0 0 0 0 0 0 0 0
"PRDX1" 0 3 0 0 1 0 0 0 0 0 0 0
"eIF5A" 3 0 1 0 2 0 0 0 2 0 0 0
"SePTIN2" 6 5 5 0 3 0 0 0 0 0 0 0
"LOX" 4 3 5 0 0 0 0 0 0 0 0 0
"GAPDHS" 0 0 4 0 5 0 0 0 0 3 0 3
"ARPC1B" 5 8 5 0 0 0 0 0 0 0 0 0
"CNN2" 2 2 2 0 0 0 0 0 0 0 0 0
"HNRNPF" 0 0 0 0 1 0 0 0 0 0 0 0
"CAH2" 3 2 0 0 3 0 0 0 0 1 3 3
"RAC2" 5 5 6 0 0 0 0 0 0 0 2 1
"TUBB6" 0 0 0 0 15 0 0 0 0 0 32 12
"GPI" 4 3 1 0 1 0 0 0 0 2 2 1
"CFD" 7 10 10 0 4 0 0 0 0 2 5 7
"HSPA5" 0 0 0 0 11 0 0 0 0 0 0 0
"HeBP1" 5 0 2 0 0 0 0 0 0 0 0 0
"SPP1" 1 0 2 0 0 0 0 0 0 2 0 0
"P31098" 1 0 2 0 0 0 0 0 0 2 0 0
"GSTT1" 4 3 2 1 0 0 0 1 0 0 0 0
"FBP1" 3 0 2 0 0 0 0 0 0 0 0 0
"eNO3" 10 9 0 4 0 0 0 0 0 0 7 0
"MYL9" 4 0 3 0 0 0 0 0 0 0 2 0
"eSD" 5 12 6 0 0 0 0 0 0 0 2 0
"TPI1" 9 6 4 0 3 0 0 0 0 1 4 2
"GSTA2" 8 6 7 0 0 0 3 0 0 0 0 0
"CDC42" 0 3 2 0 0 0 0 1 0 0 0 0
"GARIN1B" 0 0 3 0 0 0 0 0 0 0 0 0
"eXT1" 17 19 7 0 0 0 0 0 0 0 0 0
"PTGR1" 6 4 5 0 0 0 1 3 0 0 3 0
"SePTIN8" 3 2 5 0 0 0 0 0 0 0 0 0
"H1-2" 3 4 4 0 6 0 0 0 0 0 0 0
"CBR1" 2 5 3 0 0 0 0 0 0 0 1 0
"RHOA" 3 2 2 0 3 0 0 0 0 0 0 0
"CSN2" 5 1 1 0 2 0 0 0 1 3 0 1
"ANXA3" 4 2 1 0 2 0 0 0 0 0 0 0
"GSTA1" 3 0 0 0 0 0 3 0 2 0 0 0
"SLC2A1" 4 7 6 2 6 0 0 0 0 8 8 3
"UGDH" 0 2 1 0 0 0 0 2 0 0 0 0
"MAPRe1" 0 2 0 0 0 0 0 0 0 0 0 0
"PGFS2" 6 0 0 0 0 0 0 0 0 0 0 0
"PGFS1" 6 0 0 0 0 0 0 0 0 0 0 0
"ATP6V1e1" 3 0 3 0 0 0 0 0 0 0 0 0
"S100A12" 8 4 3 0 0 0 0 0 0 0 0 0
"SePTIN11" 3 2 0 0 0 0 0 0 0 0 0 0
"TUBA8" 0 0 0 0 21 0 0 0 0 0 24 11
"PSMA2" 1 1 0 0 0 0 0 0 0 0 0 0
"HNRNPA2B1" 6 6 2 0 2 0 0 0 0 0 0 0
"eHD1" 5 4 4 0 0 0 0 0 0 0 1 0
"CORO1A" 5 5 7 0 0 0 1 2 0 0 3 0
"CRIP2" 2 0 0 0 0 0 0 0 0 0 0 0
"IGFBP4" 10 5 10 0 0 0 0 0 0 0 0 0
"eIF4H" 1 2 1 0 0 0 0 0 0 0 0 0
"CKM" 18 12 15 9 0 0 0 0 0 5 7 10
"MAP10" 0 2 3 0 0 0 0 0 0 2 0 0
"CTSC" 5 4 6 0 0 0 0 0 0 0 5 1
"COLeC11" 0 2 2 0 0 0 0 0 0 1 6 1
"MGP" 4 0 2 0 0 0 0 0 1 0 2 0
"OSTF1" 4 1 3 0 0 0 1 0 0 0 0 2
"IGFBP6" 7 5 7 0 0 0 1 2 5 0 0 0
"SeRPINH1" 4 2 0 0 0 0 0 0 0 0 0 0
"ANG1" 3 3 4 0 0 0 0 0 0 0 0 0
"FABP1" 8 0 5 0 0 0 0 0 0 5 6 0
"HNRNPK" 6 4 6 0 0 0 0 0 0 0 0 0
"CST3" 10 5 7 0 0 0 2 3 5 1 0 0
"SBDS" 0 0 1 0 0 0 0 0 0 0 0 0
"CD44" 2 0 0 0 0 0 0 0 0 0 2 1
"KRT222" 0 3 2 0 0 0 0 0 0 0 2 0
"ATP6V1D" 6 4 3 0 0 0 0 0 0 0 0 0
"OGN" 1 2 4 0 0 0 0 1 0 3 1 0
"ARPC2" 2 0 3 0 0 0 0 1 0 0 0 0
"ATIC" 6 6 0 0 0 0 0 0 0 0 4 0
"BCL2L14" 5 0 0 0 0 0 0 0 0 0 0 6
"TCN2" 2 4 1 0 0 0 0 0 0 0 0 0
"IGFBP5" 7 4 8 0 0 0 0 0 0 0 0 0
"PLA1A" 7 0 0 0 0 0 0 0 0 0 0 0
"COLGALT1" 1 0 0 0 0 0 0 0 0 0 0 0
"MTAP" 7 7 5 0 0 0 0 0 0 0 0 0
"ASS1" 0 0 1 0 0 0 0 0 0 0 0 0
"GPR39" 2 0 0 0 0 0 0 0 0 0 0 0
"LeCT2" 3 0 3 0 0 0 0 0 1 0 0 0
"RPS18" 0 0 3 0 0 0 0 0 0 0 0 0
"MYL12B" 4 0 3 0 0 0 0 0 0 0 2 0
"FKBP4" 0 0 0 0 3 0 0 0 0 0 0 0
"HSPB1" 0 0 0 0 5 0 0 0 0 0 0 0
"XPNPeP1" 0 0 0 6 0 0 0 1 0 0 0 0
"MAeA" 0 0 0 1 0 0 0 3 0 0 0 0
"AHSA2" 0 0 1 0 0 0 0 0 0 0 2 0
"NOSTRIN" 0 0 0 0 0 0 2 2 0 0 0 0
"TNFAIP8L2" 2 0 4 0 0 0 0 0 0 0 0 0
"OMD" 3 1 0 0 4 2 0 0 0 0 0 0
"DNM1L" 2 0 3 0 0 0 0 0 0 0 0 0
"NMe2" 0 3 0 0 5 4 0 0 0 0 0 0
"ARHGDIB" 0 0 2 0 0 0 0 0 0 0 3 0
"MAML2" 2 0 0 1 0 2 0 0 0 0 0 0
"ITGB1" 0 0 2 0 0 0 0 0 0 0 0 0
"FMOD" 5 3 1 0 0 0 0 0 1 1 0 0
"HBe2" 0 0 6 0 0 0 0 0 0 4 0 0
"SPON1" 2 0 2 0 0 2 0 0 0 0 0 0
"VDAC1" 0 0 0 0 1 0 0 0 1 0 0 0
"MYH7" 0 0 0 0 0 18 0 0 4 0 0 0
"eBD" 0 0 0 1 0 0 0 0 0 0 0 0
"HSPA2" 0 0 0 0 0 5 0 0 1 0 0 3
"UBC" 0 4 0 0 0 0 0 0 1 0 3 0
"CFAP210" 0 6 2 0 8 8 1 0 1 0 0 0
"RHOC" 3 2 2 0 0 0 0 0 0 0 0 0
"CA3" 5 4 0 0 0 0 0 0 0 0 0 0
"SNRPD1" 0 0 0 0 0 0 0 2 0 0 0 0
"PNPO" 2 0 0 0 0 0 0 0 0 0 0 0
"RPS20" 2 0 0 0 0 0 0 0 0 0 0 0
"RAB5C" 2 0 1 0 0 1 0 0 0 0 0 0
"UBe2M" 2 0 0 0 1 0 0 0 0 0 0 0
"CTNNB1" 5 5 0 0 16 7 0 0 0 4 0 0
"ANKRD54" 1 0 0 0 1 0 0 0 0 0 2 0
"SeRPINA3-3" 0 0 0 0 0 0 29 116 23 0 0 0
"COQ6" 0 0 0 0 0 0 0 0 0 0 1 0
"RAB6B" 2 3 2 0 0 2 0 0 0 0 0 0
"RDX" 0 6 4 0 0 5 0 0 0 0 0 0
"RHOB" 5 2 3 0 2 0 0 0 0 0 0 0
"BPIFB1" 2 3 2 0 1 2 0 0 0 0 0 0
"ACTC1" 36 33 33 0 30 28 0 0 4 15 36 19
"APP" 0 0 0 0 0 0 0 0 0 0 1 0
"eeF1D" 5 3 0 0 2 0 0 0 0 0 0 0
"COL2A1" 3 0 2 0 0 2 0 0 0 0 4 0
"RAB27B" 3 2 0 0 0 2 0 0 0 0 0 0
"CRYAB" 0 0 0 0 0 0 0 0 0 0 1 0
"GNAI1" 2 0 0 0 0 2 0 0 0 0 0 0
"ANP32B" 0 0 0 0 1 0 0 0 0 0 4 3
"UTP15" 9 11 15 14 6 0 2 6 0 10 6 14
"DRC7" 7 0 0 0 0 0 0 0 0 0 0 0
"K2C4" 9 0 0 0 0 14 0 0 0 0 0 0
"CD47" 0 0 0 0 2 1 0 0 0 0 0 0
"CATHL2" 0 0 0 0 1 1 0 0 0 0 0 0
"GDF6" 8 0 0 2 5 0 0 0 0 0 8 0
"KRT78" 8 5 0 4 9 0 0 0 0 4 5 0
"PLeKHA2" 0 0 0 0 0 0 1 0 0 0 0 0
"SeLeNOK" 0 0 0 0 0 0 0 0 0 0 0 0
"IMP4" 0 0 0 0 0 0 0 0 0 0 1 1
"SLC15A4" 0 0 0 1 0 0 0 0 0 0 0 0
"PReLID1" 0 0 0 0 0 0 0 0 0 1 0 0
"RPL12" 0 1 0 0 1 0 0 0 0 0 0 0
"GTF2I" 0 0 0 0 0 0 0 0 0 0 1 0
"TMSB10" 0 0 0 0 0 0 0 0 0 0 1 0
"IDH1" 2 3 0 0 0 0 0 0 0 0 0 0
"PPP1CB" 1 0 0 0 0 0 0 0 0 0 0 0
"UBA52" 0 4 0 0 9 0 0 0 1 3 3 0
"POLR3A" 10 0 0 0 0 0 0 0 0 0 0 0
"GNB1" 2 1 0 0 0 0 0 0 0 0 0 0
"PSMA7" 4 0 3 0 3 0 0 0 0 0 0 0
"RAB8B" 0 7 5 0 5 0 0 0 0 0 0 0
"MeD30" 0 0 0 0 0 0 0 0 0 0 0 1
"TALDO1" 0 6 0 0 0 0 0 23 0 0 0 0
"KRT35" 0 4 0 0 105 0 0 0 0 0 0 0
"GMFG" 0 0 0 0 0 0 0 0 0 0 1 0
"HNRNPA1" 0 0 0 0 3 0 0 0 0 0 0 0
"KRT81" 0 0 0 0 215 0 0 0 0 0 0 0
"GPLD1" 5 3 4 0 3 1 0 0 0 0 0 0
"eIF4A1" 0 0 0 0 7 0 0 0 0 0 1 0
"ATP5F1B" 0 0 0 0 4 0 0 0 0 0 0 0
"PKP1" 0 0 0 0 10 0 0 0 0 0 0 0
"KRT83" 0 0 0 0 243 0 0 0 0 0 0 0
"SFN" 0 0 0 0 18 0 0 0 0 0 0 0
"MRPS24" 4 0 0 0 3 0 0 0 0 0 8 0
"GIMD1" 0 0 0 0 0 0 0 0 0 5 0 0
"PDIA4" 3 6 0 0 3 0 0 0 0 0 3 7
"RAP1A" 0 0 0 8 0 0 4 5 2 0 0 0
"HP251" 0 0 1 0 0 0 0 0 0 0 3 3
"HP1BP3" 0 0 0 0 2 0 0 0 0 0 0 0
"ACCS" 1 0 0 0 1 0 0 0 0 0 0 0
"ANXA6" 3 0 3 0 3 0 0 0 0 0 0 0
"H3-3A" 0 0 0 0 12 0 0 0 0 0 0 0
"UMOD" 0 0 0 0 0 0 0 0 0 0 0 0
"CHCT1" 0 0 0 0 0 0 0 0 0 0 1 2
"RPL30" 2 0 0 0 8 0 0 0 0 0 0 0
